Subcategory,Food,Serving,Calories,URL
Meat,Brawn,100 g,140 Cal,https://www.calories.info/food/meat
Meat,Buffalo,100 g,99 Cal,https://www.calories.info/food/meat
Meat,Buffalo Wings,100 g,312 Cal,https://www.calories.info/food/meat
Meat,Caribou,100 g,166 Cal,https://www.calories.info/food/meat
Meat,Chicken,100 g,166 Cal,https://www.calories.info/food/meat
Meat,Chicken Breast,100 g,101 Cal,https://www.calories.info/food/meat
Meat,Chicken Breast Fillet,100 g,118 Cal,https://www.calories.info/food/meat
Meat,"Chicken Breast, fried",100 g,105 Cal,https://www.calories.info/food/meat
Meat,"Chicken Breast, grilled",100 g,107 Cal,https://www.calories.info/food/meat
Meat,Chicken Drumstick,100 g,149 Cal,https://www.calories.info/food/meat
Meat,Chicken Liver,100 g,136 Cal,https://www.calories.info/food/meat
Meat,Chicken Thigh,100 g,173 Cal,https://www.calories.info/food/meat
Meat,"Chicken Thigh, cooked",100 g,141 Cal,https://www.calories.info/food/meat
Meat,"Chicken Thigh, grilled, roasted",100 g,164 Cal,https://www.calories.info/food/meat
Meat,Chicken Wings,100 g,191 Cal,https://www.calories.info/food/meat
Meat,Corned Beef,100 g,141 Cal,https://www.calories.info/food/meat
Meat,Cubed Steak,100 g,196 Cal,https://www.calories.info/food/meat
Meat,Duck,100 g,227 Cal,https://www.calories.info/food/meat
Meat,Duck Breast,100 g,209 Cal,https://www.calories.info/food/meat
Meat,Duck Liver,100 g,130 Cal,https://www.calories.info/food/meat
Meat,Filet Mignon,100 g,98 Cal,https://www.calories.info/food/meat
Meat,Flank Steak,100 g,165 Cal,https://www.calories.info/food/meat
Meat,Goose,100 g,342 Cal,https://www.calories.info/food/meat
Meat,Ground Beef,100 g,208 Cal,https://www.calories.info/food/meat
Meat,Hot Wings,100 g,252 Cal,https://www.calories.info/food/meat
Meat,Lamb,100 g,117 Cal,https://www.calories.info/food/meat
Meat,Lamb Chops,100 g,298 Cal,https://www.calories.info/food/meat
Meat,Meatball,100 g,214 Cal,https://www.calories.info/food/meat
Meat,Moose,100 g,102 Cal,https://www.calories.info/food/meat
Meat,Mutton,100 g,183 Cal,https://www.calories.info/food/meat
Meat,New York Strip Steak,100 g,205 Cal,https://www.calories.info/food/meat
Meat,Peking Duck,100 g,98 Cal,https://www.calories.info/food/meat
Meat,Philly Cheese Steak,100 g,212 Cal,https://www.calories.info/food/meat
Meat,Pigeon,100 g,294 Cal,https://www.calories.info/food/meat
Meat,Pork,100 g,279 Cal,https://www.calories.info/food/meat
Meat,Pork Belly,100 g,197 Cal,https://www.calories.info/food/meat
Meat,Pork Chop,100 g,133 Cal,https://www.calories.info/food/meat
Meat,Pork Liver,100 g,129 Cal,https://www.calories.info/food/meat
Meat,Pork Loin,100 g,106 Cal,https://www.calories.info/food/meat
Meat,Pork Roast,100 g,296 Cal,https://www.calories.info/food/meat
Meat,Pork Shoulder,100 g,219 Cal,https://www.calories.info/food/meat
Meat,Pork Skin,100 g,621 Cal,https://www.calories.info/food/meat
Meat,Pork Steak,100 g,106 Cal,https://www.calories.info/food/meat
Meat,Rabbit,100 g,152 Cal,https://www.calories.info/food/meat
Meat,Racoon,100 g,255 Cal,https://www.calories.info/food/meat
Meat,Rhea,100 g,174 Cal,https://www.calories.info/food/meat
Meat,Rib Eye Steak,100 g,241 Cal,https://www.calories.info/food/meat
Meat,Roast Beef,100 g,130 Cal,https://www.calories.info/food/meat
Meat,Rotisserie Chicken,100 g,188 Cal,https://www.calories.info/food/meat
Meat,Round Steak,100 g,161 Cal,https://www.calories.info/food/meat
Meat,Rump Steak,100 g,214 Cal,https://www.calories.info/food/meat
Meat,Sausage Patty,100 g,288 Cal,https://www.calories.info/food/meat
Meat,Sirloin Steak,100 g,182 Cal,https://www.calories.info/food/meat
Meat,Skirt Steak,100 g,121 Cal,https://www.calories.info/food/meat
Meat,Spam,100 g,476 Cal,https://www.calories.info/food/meat
Meat,"Spare Ribs, Pork Ribs",100 g,320 Cal,https://www.calories.info/food/meat
Meat,Squirrel,100 g,120 Cal,https://www.calories.info/food/meat
Meat,Steak Sandwich,100 g,326 Cal,https://www.calories.info/food/meat
Meat,Turkey,100 g,157 Cal,https://www.calories.info/food/meat
Meat,Venison,100 g,108 Cal,https://www.calories.info/food/meat
Beer,Ale,100 ml,34 Cal,https://www.calories.info/food/beer
Beer,Beck's,100 ml,38 Cal,https://www.calories.info/food/beer
Beer,"Beer, Lager",100 ml,42 Cal,https://www.calories.info/food/beer
Beer,"Beer, Lager, light",100 ml,20 Cal,https://www.calories.info/food/beer
Beer,Bud Ice,100 ml,34 Cal,https://www.calories.info/food/beer
Beer,Bud Light,100 ml,29 Cal,https://www.calories.info/food/beer
Beer,Bud Light Lime,100 ml,31 Cal,https://www.calories.info/food/beer
Beer,Bud Select,100 ml,28 Cal,https://www.calories.info/food/beer
Beer,Budweiser,100 ml,41 Cal,https://www.calories.info/food/beer
Beer,Busch Light,100 ml,27 Cal,https://www.calories.info/food/beer
Beer,Busch Low Alcohol,100 ml,17 Cal,https://www.calories.info/food/beer
Beer,Carlsberg,100 ml,40 Cal,https://www.calories.info/food/beer
Beer,Coors,100 ml,34 Cal,https://www.calories.info/food/beer
Beer,Coors Light,100 ml,31 Cal,https://www.calories.info/food/beer
Beer,Dark Beer,100 ml,37 Cal,https://www.calories.info/food/beer
Beer,Genesee Cream Ale,100 ml,46 Cal,https://www.calories.info/food/beer
Beer,Ginger Beer,100 ml,45 Cal,https://www.calories.info/food/beer
Beer,Guinness,100 ml,30 Cal,https://www.calories.info/food/beer
Beer,Heineken,100 ml,42 Cal,https://www.calories.info/food/beer
Beer,"IPA, India Pale Ale",100 ml,49 Cal,https://www.calories.info/food/beer
Beer,Keystone Ice,100 ml,40 Cal,https://www.calories.info/food/beer
Beer,Keystone Light,100 ml,101 Cal,https://www.calories.info/food/beer
Beer,"Labatt, Michelob Ultra",100 ml,27 Cal,https://www.calories.info/food/beer
Beer,Land Shark,100 ml,42 Cal,https://www.calories.info/food/beer
Beer,Michelob Light,100 ml,27 Cal,https://www.calories.info/food/beer
Beer,Michelob Ultra,100 ml,17 Cal,https://www.calories.info/food/beer
Beer,Miller Genuine Draft,100 ml,41 Cal,https://www.calories.info/food/beer
Beer,Miller High Life,100 ml,40 Cal,https://www.calories.info/food/beer
Beer,Miller High Life Light,100 ml,30 Cal,https://www.calories.info/food/beer
Beer,Miller Lite,100 ml,27 Cal,https://www.calories.info/food/beer
Beer,Milwaukee's Best Light,100 ml,28 Cal,https://www.calories.info/food/beer
Beer,Natural Light Beer,100 ml,95 Cal,https://www.calories.info/food/beer
Beer,Newcastle Brown Ale,100 ml,40 Cal,https://www.calories.info/food/beer
Beer,Non Alcoholic Beer,100 ml,25 Cal,https://www.calories.info/food/beer
Beer,Old Milwaukee,100 g,42 Cal,https://www.calories.info/food/beer
Beer,Pabst Blue Ribbon,100 ml,41 Cal,https://www.calories.info/food/beer
Beer,Pale Ale,100 ml,35 Cal,https://www.calories.info/food/beer
Beer,Pilsner,100 ml,42 Cal,https://www.calories.info/food/beer
Beer,Rolling Rock,100 ml,39 Cal,https://www.calories.info/food/beer
Beer,Root Beer,100 ml,41 Cal,https://www.calories.info/food/beer
Beer,Samuel Adams,100 ml,49 Cal,https://www.calories.info/food/beer
Beer,Shock Top,100 ml,47 Cal,https://www.calories.info/food/beer
Beer,Stout Beer,100 ml,54 Cal,https://www.calories.info/food/beer
Beer,Wheat Beer,100 ml,38 Cal,https://www.calories.info/food/beer
Fruit,Acai Berry,100 g,59 Cal,https://www.calories.info/food/fruit
Fruit,Ackee,100 g,224 Cal,https://www.calories.info/food/fruit
Fruit,Apple,100 g,64 Cal,https://www.calories.info/food/fruit
Fruit,Apricot,100 g,45 Cal,https://www.calories.info/food/fruit
Fruit,"Apricot, dried",100 g,269 Cal,https://www.calories.info/food/fruit
Fruit,Asian Pear,100 g,42 Cal,https://www.calories.info/food/fruit
Fruit,"Avocado, Hass Avocado",100 g,161 Cal,https://www.calories.info/food/fruit
Fruit,Banana,100 g,92 Cal,https://www.calories.info/food/fruit
Fruit,"Banana, small",100 g,89 Cal,https://www.calories.info/food/fruit
Fruit,"Bartlett Pear, Williams Pear",100 g,55 Cal,https://www.calories.info/food/fruit
Fruit,Blackberries,100 g,43 Cal,https://www.calories.info/food/fruit
Fruit,Blood Orange,100 g,43 Cal,https://www.calories.info/food/fruit
Fruit,Blueberries,100 g,46 Cal,https://www.calories.info/food/fruit
Fruit,Breadfruit,100 g,103 Cal,https://www.calories.info/food/fruit
Fruit,Cactus Pear,100 g,46 Cal,https://www.calories.info/food/fruit
Fruit,Cantaloupe,100 g,56 Cal,https://www.calories.info/food/fruit
Fruit,Carob,100 g,188 Cal,https://www.calories.info/food/fruit
Fruit,Chayote,100 g,19 Cal,https://www.calories.info/food/fruit
Fruit,Cherries,100 g,64 Cal,https://www.calories.info/food/fruit
Fruit,Clementine,100 g,49 Cal,https://www.calories.info/food/fruit
Fruit,Coconut,100 g,384 Cal,https://www.calories.info/food/fruit
Fruit,Concord Grape,100 g,86 Cal,https://www.calories.info/food/fruit
Fruit,Cranberries,100 g,76 Cal,https://www.calories.info/food/fruit
Fruit,"Cranberries, dried",100 g,315 Cal,https://www.calories.info/food/fruit
Fruit,Currant,100 g,40 Cal,https://www.calories.info/food/fruit
Fruit,Dates,100 g,294 Cal,https://www.calories.info/food/fruit
Fruit,"Dates, Medjool Dates",100 g,277 Cal,https://www.calories.info/food/fruit
Fruit,Dragon Fruit,100 g,60 Cal,https://www.calories.info/food/fruit
Fruit,Dried Fruit Mix,100 g,258 Cal,https://www.calories.info/food/fruit
Fruit,Durian,100 g,151 Cal,https://www.calories.info/food/fruit
Fruit,Elderberries,100 g,348 Cal,https://www.calories.info/food/fruit
Fruit,Fig,100 g,66 Cal,https://www.calories.info/food/fruit
Fruit,"Fig, dried",100 g,270 Cal,https://www.calories.info/food/fruit
Fruit,"Fruit Salad, Mixed Fruit",100 g,63 Cal,https://www.calories.info/food/fruit
Fruit,Goji Berry,100 g,325 Cal,https://www.calories.info/food/fruit
Fruit,Gooseberries,100 g,43 Cal,https://www.calories.info/food/fruit
Fruit,Grapefruit,100 g,47 Cal,https://www.calories.info/food/fruit
Fruit,Grapes,100 g,72 Cal,https://www.calories.info/food/fruit
Fruit,Guava,100 g,44 Cal,https://www.calories.info/food/fruit
Fruit,Huckleberry,100 g,429 Cal,https://www.calories.info/food/fruit
Fruit,Jackfruit,100 g,80 Cal,https://www.calories.info/food/fruit
Fruit,Jujube,100 g,115 Cal,https://www.calories.info/food/fruit
Fruit,Kiwi,100 g,61 Cal,https://www.calories.info/food/fruit
Fruit,Kumquat,100 g,75 Cal,https://www.calories.info/food/fruit
Fruit,Lemon,100 g,38 Cal,https://www.calories.info/food/fruit
Fruit,Lime,100 g,48 Cal,https://www.calories.info/food/fruit
Fruit,Longan,100 g,74 Cal,https://www.calories.info/food/fruit
Fruit,Lychee,100 g,78 Cal,https://www.calories.info/food/fruit
Fruit,Mandarin Orange,100 g,53 Cal,https://www.calories.info/food/fruit
Fruit,Mango,100 g,61 Cal,https://www.calories.info/food/fruit
Fruit,Mangosteen,100 g,76 Cal,https://www.calories.info/food/fruit
Fruit,Maraschino Cherries,100 g,35 Cal,https://www.calories.info/food/fruit
Fruit,"Melon, Galia Melon",100 g,56 Cal,https://www.calories.info/food/fruit
Fruit,"Melon, Honeydew Melon",100 g,56 Cal,https://www.calories.info/food/fruit
Fruit,"Melon, Musk melon",100 g,56 Cal,https://www.calories.info/food/fruit
Fruit,"Melon, Water Melon",100 g,38 Cal,https://www.calories.info/food/fruit
Fruit,"Melon, Winter Melon",100 g,30 Cal,https://www.calories.info/food/fruit
Fruit,"Melon, Yellow Melon",100 g,30 Cal,https://www.calories.info/food/fruit
Fruit,"Mixed Berries, frozen",100 g,67 Cal,https://www.calories.info/food/fruit
Fruit,Mulberries,100 g,47 Cal,https://www.calories.info/food/fruit
Fruit,Nectarine,100 g,59 Cal,https://www.calories.info/food/fruit
Fruit,Nopal,100 g,321 Cal,https://www.calories.info/food/fruit
Fruit,"Olive, black",100 g,320 Cal,https://www.calories.info/food/fruit
Fruit,"Olive, green",100 g,141 Cal,https://www.calories.info/food/fruit
Fruit,Orange,100 g,47 Cal,https://www.calories.info/food/fruit
Fruit,Papaya,100 g,35 Cal,https://www.calories.info/food/fruit
Fruit,Passion Fruit,100 g,66 Cal,https://www.calories.info/food/fruit
Fruit,Pawpaw,100 g,80 Cal,https://www.calories.info/food/fruit
Fruit,Peach,100 g,44 Cal,https://www.calories.info/food/fruit
Fruit,Pear,100 g,57 Cal,https://www.calories.info/food/fruit
Fruit,"Persimmon, Khaki",100 g,75 Cal,https://www.calories.info/food/fruit
Fruit,Pineapple,100 g,58 Cal,https://www.calories.info/food/fruit
Fruit,Pink Grapefruit,100 g,47 Cal,https://www.calories.info/food/fruit
Fruit,Plantain,100 g,125 Cal,https://www.calories.info/food/fruit
Fruit,"Plantain, fried",100 g,309 Cal,https://www.calories.info/food/fruit
Fruit,Plum,100 g,48 Cal,https://www.calories.info/food/fruit
Fruit,Poha,100 g,379 Cal,https://www.calories.info/food/fruit
Fruit,Pomegranate,100 g,79 Cal,https://www.calories.info/food/fruit
Fruit,Pomelo,100 g,47 Cal,https://www.calories.info/food/fruit
Fruit,Prickly Pear,100 g,31 Cal,https://www.calories.info/food/fruit
Fruit,Prunes,100 g,48 Cal,https://www.calories.info/food/fruit
Fruit,"Prunes, dried",100 g,250 Cal,https://www.calories.info/food/fruit
Fruit,Quince,100 g,50 Cal,https://www.calories.info/food/fruit
Fruit,Raisin,100 g,310 Cal,https://www.calories.info/food/fruit
Fruit,Rambutan,100 g,69 Cal,https://www.calories.info/food/fruit
Fruit,Raspberries,100 g,43 Cal,https://www.calories.info/food/fruit
Fruit,Rhubarb,100 g,20 Cal,https://www.calories.info/food/fruit
Fruit,Rose Hips,100 g,162 Cal,https://www.calories.info/food/fruit
Fruit,Satsuma,100 g,47 Cal,https://www.calories.info/food/fruit
Fruit,Sour Cherries,100 g,54 Cal,https://www.calories.info/food/fruit
Fruit,Soursop,100 g,33 Cal,https://www.calories.info/food/fruit
Fruit,Star Fruit,100 g,30 Cal,https://www.calories.info/food/fruit
Fruit,Strawberries,100 g,36 Cal,https://www.calories.info/food/fruit
Fruit,Tamarind,100 g,290 Cal,https://www.calories.info/food/fruit
Fruit,Tangelo,100 g,53 Cal,https://www.calories.info/food/fruit
Fruit,Tomatillo,100 g,32 Cal,https://www.calories.info/food/fruit
Pizza,BBQ Chicken Pizza,100 g,237 Cal,https://www.calories.info/food/pizza
Pizza,Bianca Pizza,100 g,220 Cal,https://www.calories.info/food/pizza
Pizza,Buffalo Chicken Pizza,100 g,211 Cal,https://www.calories.info/food/pizza
Pizza,Calzone,100 g,227 Cal,https://www.calories.info/food/pizza
Pizza,Capricciosa Pizza,100 g,169 Cal,https://www.calories.info/food/pizza
Pizza,Cheese Pizza,100 g,303 Cal,https://www.calories.info/food/pizza
Pizza,Chicken Pizza,100 g,243 Cal,https://www.calories.info/food/pizza
Pizza,Deep Dish Pizza,100 g,265 Cal,https://www.calories.info/food/pizza
Pizza,"Four Cheese Pizza, Quattro Formaggi",100 g,297 Cal,https://www.calories.info/food/pizza
Pizza,Hawaiian Pizza,100 g,196 Cal,https://www.calories.info/food/pizza
Pizza,Margherita Pizza,100 g,240 Cal,https://www.calories.info/food/pizza
Pizza,Mozzarella Pizza,100 g,222 Cal,https://www.calories.info/food/pizza
Pizza,Mushroom Pizza,100 g,201 Cal,https://www.calories.info/food/pizza
Pizza,Napoli Pizza,100 g,234 Cal,https://www.calories.info/food/pizza
Pizza,New York Style Pizza,100 g,237 Cal,https://www.calories.info/food/pizza
Pizza,Pepperoni Pizza,100 g,239 Cal,https://www.calories.info/food/pizza
Pizza,Pizza Dough,100 g,307 Cal,https://www.calories.info/food/pizza
Pizza,"Pizza, homemade",100 g,274 Cal,https://www.calories.info/food/pizza
Pizza,Salami Pizza,100 g,239 Cal,https://www.calories.info/food/pizza
Pizza,Sausage Pizza,100 g,188 Cal,https://www.calories.info/food/pizza
Pizza,Seafood Pizza,100 g,189 Cal,https://www.calories.info/food/pizza
Pizza,Sicilian Pizza,100 g,183 Cal,https://www.calories.info/food/pizza
Pizza,Spinach Pizza,100 g,183 Cal,https://www.calories.info/food/pizza
Pizza,Stuffed Crust Pizza,100 g,274 Cal,https://www.calories.info/food/pizza
Pizza,Supreme Pizza (Pizza Hut),100 g,243 Cal,https://www.calories.info/food/pizza
Pizza,Thin Crust Pizza,100 g,273 Cal,https://www.calories.info/food/pizza
Pizza,Tuna Pizza,100 g,227 Cal,https://www.calories.info/food/pizza
Pizza,"Vegetable Pizza, Veggie Pizza, Vegetarian Pizza",100 g,154 Cal,https://www.calories.info/food/pizza
Pizza,White Pizza,100 g,306 Cal,https://www.calories.info/food/pizza
Vegetables & Legumes,Arrowroot,100 g,65 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Artichoke,100 g,44 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Asparagus,100 g,21 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Asparagus, cooked",100 g,16 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Azuki Beans,100 g,361 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Baked Beans,100 g,105 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Bamboo Shoot,100 g,23 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Banana Pepper,100 g,27 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Bean Sprouts,100 g,47 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Beetroot, Beets",100 g,46 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Bell Pepper,100 g,23 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Black Beans,100 g,373 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Black Beans, cooked",100 g,89 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Black Chana,100 g,378 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Black Chickpeas,100 g,348 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Black Eyed Peas,100 g,314 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Bok Choy,100 g,17 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Broccoli,100 g,34 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Broccoli, cooked",100 g,27 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Broccoli, steamed",100 g,31 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Brown Lentil,100 g,116 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Brussels Sprouts,100 g,44 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Butternut Squash,100 g,46 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Cabbage,100 g,30 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Cabbage, cooked",100 g,12 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Capsicum,100 g,40 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Carrot,100 g,39 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Carrot, cooked",100 g,23 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Carrot, roasted",100 g,40 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Cauliflower Rice,100 g,24 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Cauliflower,100 g,28 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Celeriac,100 g,27 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Celery,100 g,22 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Cherry Tomatoes,100 g,20 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Chickpeas,100 g,151 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Chickpeas, canned",100 g,135 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Collard Greens,100 g,32 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Corn, canned",100 g,81 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Corn, on the Cob",100 g,45 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Courgette, Zucchini",100 g,23 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Creamed Spinach,100 g,62 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Cucumber,100 g,14 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Daikon,100 g,38 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Dandelion,100 g,47 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Dill Pickles,100 g,12 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Dock,100 g,22 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Dried Tomatoes,100 g,78 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,"Eggplant, Aubergine",100 g,20 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Fava Beans,100 g,89 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Fennel,100 g,23 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Fiddlehead,100 g,34 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Garbanzo,100 g,478 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Garlic,100 g,143 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Grape Leaves,100 g,93 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Grape Tomato,100 g,31 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Green Beans,100 g,39 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Green Lentils,100 g,352 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Green Onion,100 g,32 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Green Peas,100 g,91 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Heart of Palm,100 g,44 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Horse Gram,100 g,89 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Horseradish,100 g,78 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Jalapeno,100 g,29 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Japanese Sweet Potato,100 g,88 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Jerusalem Artichoke,100 g,73 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Jícama,100 g,38 Cal,https://www.calories.info/food/vegetables-legumes
Vegetables & Legumes,Kale,100 g,45 Cal,https://www.calories.info/food/vegetables-legumes
